,oid,class_original,class_hierachical
1680,ZTF18aaqpmgh,E,Periodic
1681,ZTF18aaqsjpg,QSO,Stochastic
1682,ZTF18aarmrbz,AGN,Stochastic
1683,ZTF18aarumyb,QSO,Stochastic
1684,ZTF18aasecis,QSO,Stochastic
1685,ZTF18aaswshg,QSO,Stochastic
1686,ZTF18aatjabn,AGN,Stochastic
1687,ZTF18aatyatg,RRL,Periodic
1688,ZTF18aauuuri,RRL,Periodic
1689,ZTF18aavrmoi,QSO,Stochastic
1690,ZTF18aavzkyz,LPV,Periodic
1691,ZTF18aawbqxd,RRL,Periodic
1692,ZTF18aawoaaw,QSO,Stochastic
1693,ZTF18aaxdohx,LPV,Periodic
1694,ZTF18aaxlppb,LPV,Periodic
1695,ZTF18aaxmzla,E,Periodic
1696,ZTF18aaxrhvl,QSO,Stochastic
1697,ZTF18aaxwrxd,QSO,Stochastic
1698,ZTF18aaxyrsi,LPV,Periodic
1699,ZTF18aaylbdu,E,Periodic
1700,ZTF18aayujtb,E,Periodic
1701,ZTF18aayxpsf,RRL,Periodic
1702,ZTF18aayzdmp,E,Periodic
1703,ZTF18aazfjcc,LPV,Periodic
1704,ZTF18aazmbcv,LPV,Periodic
1705,ZTF18aazzeli,RRL,Periodic
1706,ZTF18aazzfdz,RRL,Periodic
1707,ZTF18abadkip,RRL,Periodic
1708,ZTF18abaglhp,Periodic-Other,Periodic
1709,ZTF18abbdbsx,LPV,Periodic
1710,ZTF18abbfpnm,RRL,Periodic
1711,ZTF18abbnxrv,LPV,Periodic
1712,ZTF18abbuctc,E,Periodic
1713,ZTF18abbxyzz,RRL,Periodic
1714,ZTF18abccvew,LPV,Periodic
1715,ZTF18abcerew,RRL,Periodic
1716,ZTF18abcfbwe,E,Periodic
1717,ZTF18abcfcdx,RRL,Periodic
1718,ZTF18abclccz,LPV,Periodic
1719,ZTF18abcoueu,LPV,Periodic
1720,ZTF18abcrapn,RRL,Periodic
1721,ZTF18abcrlac,LPV,Periodic
1722,ZTF18abcuvwm,E,Periodic
1723,ZTF18abcvnok,RRL,Periodic
1724,ZTF18abcwesr,E,Periodic
1725,ZTF18abcxkfc,CEP,Periodic
1726,ZTF18abddiqx,RRL,Periodic
1727,ZTF18abdeuvl,LPV,Periodic
1728,ZTF18abdeyhe,E,Periodic
1729,ZTF18abdfqwn,LPV,Periodic
1730,ZTF18abdjwau,LPV,Periodic
1731,ZTF18abdkcdr,E,Periodic
1732,ZTF18abdlbwm,RRL,Periodic
1733,ZTF18abdpozw,E,Periodic
1734,ZTF18abdqbkq,E,Periodic
1735,ZTF18abdrmom,RRL,Periodic
1736,ZTF18abeaexa,LPV,Periodic
1737,ZTF18abeejpm,QSO,Stochastic
1738,ZTF18abefotc,RRL,Periodic
1739,ZTF18aberxuy,LPV,Periodic
1740,ZTF18abfxkwo,E,Periodic
1741,ZTF18abgfvcb,RRL,Periodic
1742,ZTF18abghbcx,RRL,Periodic
1743,ZTF18abgrkhl,LPV,Periodic
1744,ZTF18abgrtoz,LPV,Periodic
1745,ZTF18abgyilh,E,Periodic
1746,ZTF18abilewh,RRL,Periodic
1747,ZTF18abiligd,LPV,Periodic
1748,ZTF18abinmyh,LPV,Periodic
1749,ZTF18abiucnq,LPV,Periodic
1750,ZTF18abjypzp,E,Periodic
1751,ZTF18abkocic,LPV,Periodic
1752,ZTF18ablpbmf,LPV,Periodic
1753,ZTF18ablragy,RRL,Periodic
1754,ZTF18ablrmfv,E,Periodic
1755,ZTF18ablwpxh,E,Periodic
1756,ZTF18abmaoyw,E,Periodic
1757,ZTF18abmbczm,RRL,Periodic
1758,ZTF18abmehgw,LPV,Periodic
1759,ZTF18abmkcxp,E,Periodic
1760,ZTF18abmlxfb,LPV,Periodic
1761,ZTF18abmrerl,LPV,Periodic
1762,ZTF18abmrzoj,RRL,Periodic
1763,ZTF18abmstue,RRL,Periodic
1764,ZTF18abmvrgg,LPV,Periodic
1765,ZTF18abndmvt,E,Periodic
1766,ZTF18abnnyzm,RRL,Periodic
1767,ZTF18abnyvhq,Periodic-Other,Periodic
1768,ZTF18aborwao,LPV,Periodic
1769,ZTF18abosxrz,CV/Nova,Stochastic
1770,ZTF18abpcuji,RRL,Periodic
1771,ZTF18abqieir,RRL,Periodic
1772,ZTF18abrcdrv,QSO,Stochastic
1773,ZTF18abreopi,E,Periodic
1774,ZTF18abrzhgf,LPV,Periodic
1775,ZTF18absannn,E,Periodic
1776,ZTF18abscmns,E,Periodic
1777,ZTF18absgnnf,RRL,Periodic
1778,ZTF18abslucf,E,Periodic
1779,ZTF18absmopx,RRL,Periodic
1780,ZTF18abssfhs,LPV,Periodic
1781,ZTF18abtgmaa,E,Periodic
1782,ZTF18abthdtz,QSO,Stochastic
1783,ZTF18abtjnsn,RRL,Periodic
1784,ZTF18abtjqwj,E,Periodic
1785,ZTF18abtkews,QSO,Stochastic
1786,ZTF18abtmhgx,E,Periodic
1787,ZTF18abtmwml,E,Periodic
1788,ZTF18abtrvll,Blazar,Stochastic
1789,ZTF18abtzkte,QSO,Stochastic
1790,ZTF18abuarhu,E,Periodic
1791,ZTF18abucogc,LPV,Periodic
1792,ZTF18abudxnq,RRL,Periodic
1793,ZTF18abuegjn,E,Periodic
1794,ZTF18abumzro,QSO,Stochastic
1795,ZTF18abusrir,E,Periodic
1796,ZTF18abuxzwf,E,Periodic
1797,ZTF18abuykgj,E,Periodic
1798,ZTF18abuykio,RRL,Periodic
1799,ZTF18abuykwc,E,Periodic
1800,ZTF18abvbnrb,RRL,Periodic
1801,ZTF18abvgczt,E,Periodic
1802,ZTF18abvosko,RRL,Periodic
1803,ZTF18abvpqxi,E,Periodic
1804,ZTF18abvtehb,DSCT,Periodic
1805,ZTF18abwclfc,QSO,Stochastic
1806,ZTF18abwpdif,E,Periodic
1807,ZTF18abwwext,E,Periodic
1808,ZTF18abxvzis,E,Periodic
1809,ZTF18abxyzmu,E,Periodic
1810,ZTF18abyyedj,E,Periodic
1811,ZTF18abzbukt,CV/Nova,Stochastic
1812,ZTF18abznpys,E,Periodic
1813,ZTF18abzrspr,E,Periodic
1814,ZTF18acapaie,QSO,Stochastic
1815,ZTF18acawgxd,RRL,Periodic
1816,ZTF18acbuljt,E,Periodic
1817,ZTF18acbxnfx,AGN,Stochastic
1818,ZTF18acbxzmi,E,Periodic
1819,ZTF18acbzlbb,CEP,Periodic
1820,ZTF18acbzpwv,QSO,Stochastic
1821,ZTF18acbzvuv,QSO,Stochastic
1822,ZTF18accjxay,E,Periodic
1823,ZTF18accndtd,QSO,Stochastic
1824,ZTF18acdpsql,E,Periodic
1825,ZTF18acdvqax,QSO,Stochastic
1826,ZTF18acdvzye,QSO,Stochastic
1827,ZTF18acebevy,E,Periodic
1828,ZTF18acegcbb,QSO,Stochastic
1829,ZTF18acerghh,AGN,Stochastic
1830,ZTF18acevzpr,E,Periodic
1831,ZTF18aceylge,QSO,Stochastic
1832,ZTF18aceylut,QSO,Stochastic
1833,ZTF18aceypzp,QSO,Stochastic
1834,ZTF18acezbvj,QSO,Stochastic
1835,ZTF18acgqwbw,E,Periodic
1836,ZTF18achaeso,E,Periodic
1837,ZTF18achdjpb,LPV,Periodic
1838,ZTF18achevnp,E,Periodic
1839,ZTF18achmert,E,Periodic
1840,ZTF18achrnsh,E,Periodic
1841,ZTF18achugih,YSO,Stochastic
1842,ZTF18acmzhwa,QSO,Stochastic
1843,ZTF18acoyulg,E,Periodic
1844,ZTF18acporoq,QSO,Stochastic
1845,ZTF18acppraz,QSO,Stochastic
1846,ZTF18acrgunw,SNIa,Transient
1847,ZTF18acrxoks,E,Periodic
1848,ZTF18acrxwyy,RRL,Periodic
1849,ZTF18acryfza,RRL,Periodic
1850,ZTF18acskzkb,QSO,Stochastic
1851,ZTF18acsoxvo,QSO,Stochastic
1852,ZTF18acsypmh,E,Periodic
1853,ZTF18acsziwo,RRL,Periodic
1854,ZTF18actwhcu,RRL,Periodic
1855,ZTF18acueers,QSO,Stochastic
1856,ZTF18acurqag,E,Periodic
1857,ZTF18acusbdy,SNIa,Transient
1858,ZTF18acvdapx,E,Periodic
1859,ZTF18acvgwpq,QSO,Stochastic
1860,ZTF18acvgxpb,QSO,Stochastic
1861,ZTF18acvgzkr,RRL,Periodic
1862,ZTF18acvvsvi,E,Periodic
1863,ZTF18acvwnvh,E,Periodic
1864,ZTF18acwynqc,AGN,Stochastic
1865,ZTF18acwyvno,RRL,Periodic
1866,ZTF18acwzcwe,RRL,Periodic
1867,ZTF18acygwmb,RRL,Periodic
1868,ZTF18acyvayy,E,Periodic
1869,ZTF18aczervx,QSO,Stochastic
1870,ZTF18adalhzz,E,Periodic
1871,ZTF18adbaabr,Periodic-Other,Periodic
1872,ZTF19aaacxcv,RRL,Periodic
1873,ZTF19aaaembf,RRL,Periodic
1874,ZTF19aaakufh,E,Periodic
1875,ZTF19aaaphob,E,Periodic
1876,ZTF19aaapkzm,AGN,Stochastic
1877,ZTF19aaaqjqd,RRL,Periodic
1878,ZTF19aabxfpg,QSO,Stochastic
1879,ZTF19aabzuon,YSO,Stochastic
1880,ZTF19aadagsh,E,Periodic
1881,ZTF19aadgbih,AGN,Stochastic
1882,ZTF19aadglub,QSO,Stochastic
1883,ZTF19aadoshf,RRL,Periodic
1884,ZTF19aadusyn,E,Periodic
1885,ZTF19aaejpji,RRL,Periodic
1886,ZTF19aafnotw,LPV,Periodic
1887,ZTF19aailryh,QSO,Stochastic
1888,ZTF19aaksynw,Periodic-Other,Periodic
1889,ZTF19aalfdga,QSO,Stochastic
1890,ZTF19aamhkxn,QSO,Stochastic
1891,ZTF19aamoedg,RRL,Periodic
1892,ZTF19aamqxlk,QSO,Stochastic
1893,ZTF19aamrccs,AGN,Stochastic
1894,ZTF19aamvond,QSO,Stochastic
1895,ZTF19aanwftt,E,Periodic
1896,ZTF19aanwnyi,QSO,Stochastic
1897,ZTF19aaocxah,RRL,Periodic
1898,ZTF19aaodyls,LPV,Periodic
1899,ZTF19aaomnji,QSO,Stochastic
1900,ZTF19aardopd,RRL,Periodic
1901,ZTF19aarmvuz,QSO,Stochastic
1902,ZTF19aasbaxl,QSO,Stochastic
1903,ZTF19aasbndt,QSO,Stochastic
1904,ZTF19aascsph,AGN,Stochastic
1905,ZTF19aatyrao,E,Periodic
1906,ZTF19aavpxly,QSO,Stochastic
1907,ZTF19aavvvuy,QSO,Stochastic
1908,ZTF19aawnnjm,QSO,Stochastic
1909,ZTF19aaxkhon,E,Periodic
1910,ZTF19aaxpkjh,RRL,Periodic
1911,ZTF19aaxvjde,QSO,Stochastic
1912,ZTF19aayfuqy,QSO,Stochastic
1913,ZTF19aayhtnm,E,Periodic
1914,ZTF19aayjiio,E,Periodic
1915,ZTF19aayjjxr,RRL,Periodic
1916,ZTF19aayliqm,RRL,Periodic
1917,ZTF19aaylixd,RRL,Periodic
1918,ZTF19aazchzu,QSO,Stochastic
1919,ZTF19abehxjc,QSO,Stochastic
1920,ZTF19abeztug,QSO,Stochastic
1921,ZTF19abfiqol,QSO,Stochastic
1922,ZTF19abfxhuf,LPV,Periodic
1923,ZTF19abjfxns,QSO,Stochastic
1924,ZTF19abjgbux,QSO,Stochastic
1925,ZTF19ableoda,QSO,Stochastic
1926,ZTF19abmqkeq,AGN,Stochastic
1927,ZTF19abpefyk,QSO,Stochastic
1928,ZTF19abpugvk,LPV,Periodic
1929,ZTF19abrndhe,QSO,Stochastic
1930,ZTF19abucbsb,QSO,Stochastic
1931,ZTF19acbjlto,QSO,Stochastic
1932,ZTF19acbnvgq,E,Periodic
1933,ZTF19achtfkc,QSO,Stochastic
1934,ZTF19adawsut,E,Periodic
1935,ZTF19adcdcgb,QSO,Stochastic
1936,ZTF19adcfygq,QSO,Stochastic
1937,ZTF20aaaxwte,AGN,Stochastic
1938,ZTF20aacseeo,QSO,Stochastic
1939,ZTF20aaczjnl,QSO,Stochastic
1940,ZTF20aadwssq,QSO,Stochastic
1941,ZTF20aadxjeb,QSO,Stochastic
1942,ZTF20aadxwqj,AGN,Stochastic
1943,ZTF20aadymct,QSO,Stochastic
1944,ZTF20aadymsu,QSO,Stochastic
1945,ZTF20aadynom,QSO,Stochastic
1946,ZTF20aadynwg,QSO,Stochastic
1947,ZTF20aaentgl,QSO,Stochastic
1948,ZTF20aaervhl,QSO,Stochastic
1949,ZTF20aakchcv,QSO,Stochastic
1950,ZTF20aaoyqoz,QSO,Stochastic
1951,ZTF20aaozcsg,QSO,Stochastic
1952,ZTF20aawegch,QSO,Stochastic
1953,ZTF17aaaaqvn,RRL,Periodic
1954,ZTF17aaacfxd,QSO,Stochastic
1955,ZTF17aaaeaiw,LPV,Periodic
1956,ZTF17aaaedbc,LPV,Periodic
1957,ZTF17aaaehtm,E,Periodic
1958,ZTF17aaaeksz,LPV,Periodic
1959,ZTF17aaaezrs,RRL,Periodic
1960,ZTF17aaafhrn,E,Periodic
1961,ZTF17aaagsdh,RRL,Periodic
1962,ZTF17aaagsfn,RRL,Periodic
1963,ZTF17aaagvqt,E,Periodic
1964,ZTF17aaaidum,RRL,Periodic
1965,ZTF17aaaiilo,RRL,Periodic
1966,ZTF17aaailio,DSCT,Periodic
1967,ZTF17aaaitle,E,Periodic
1968,ZTF17aaaivca,RRL,Periodic
1969,ZTF17aaajmtj,RRL,Periodic
1970,ZTF17aaajmwm,RRL,Periodic
1971,ZTF17aaaojbp,E,Periodic
1972,ZTF17aaaojji,E,Periodic
1973,ZTF17aaapdiv,E,Periodic
1974,ZTF17aaapkmn,E,Periodic
1975,ZTF17aaappxb,RRL,Periodic
1976,ZTF17aaarsri,E,Periodic
1977,ZTF17aaasety,E,Periodic
1978,ZTF17aaawmir,RRL,Periodic
1979,ZTF17aaazmpz,RRL,Periodic
1980,ZTF17aaboapd,E,Periodic
1981,ZTF17aaboaqy,E,Periodic
1982,ZTF17aabpati,E,Periodic
1983,ZTF17aabpkdi,LPV,Periodic
1984,ZTF17aabpwtr,RRL,Periodic
1985,ZTF17aabqhyh,E,Periodic
1986,ZTF17aabthup,E,Periodic
1987,ZTF17aabudoa,RRL,Periodic
1988,ZTF17aabukwt,RRL,Periodic
1989,ZTF17aabumem,E,Periodic
1990,ZTF17aabuwct,RRL,Periodic
1991,ZTF17aabvfgr,DSCT,Periodic
1992,ZTF17aabvfzz,LPV,Periodic
1993,ZTF17aabvrbx,E,Periodic
1994,ZTF17aabvzwb,E,Periodic
1995,ZTF17aabwode,RRL,Periodic
1996,ZTF17aabwqir,RRL,Periodic
1997,ZTF17aabxijk,RRL,Periodic
1998,ZTF17aabxjcp,RRL,Periodic
1999,ZTF17aabxjzr,RRL,Periodic
2000,ZTF17aabxlyx,RRL,Periodic
2001,ZTF17aabxpdr,Periodic-Other,Periodic
2002,ZTF17aacgkar,E,Periodic
2003,ZTF17aacmhlr,E,Periodic
2004,ZTF17aacnrwh,LPV,Periodic
2005,ZTF17aadcsij,E,Periodic
2006,ZTF17aadglaz,E,Periodic
2007,ZTF17aadipii,E,Periodic
2008,ZTF17aadoiug,E,Periodic
2009,ZTF18aaaabod,RRL,Periodic
2010,ZTF18aaaadvs,AGN,Stochastic
2011,ZTF18aaabyab,RRL,Periodic
2012,ZTF18aaadhic,Blazar,Stochastic
2013,ZTF18aaadppa,E,Periodic
2014,ZTF18aaadrxe,E,Periodic
2015,ZTF18aaadsdq,LPV,Periodic
2016,ZTF18aaaduna,E,Periodic
2017,ZTF18aaaednl,E,Periodic
2018,ZTF18aaaegeh,E,Periodic
2019,ZTF18aaaeung,DSCT,Periodic
2020,ZTF18aaaeurc,E,Periodic
2021,ZTF18aaarume,RRL,Periodic
2022,ZTF18aaazpxi,E,Periodic
2023,ZTF18aabejre,RRL,Periodic
2024,ZTF18aabiykz,RRL,Periodic
2025,ZTF18aabjldx,RRL,Periodic
2026,ZTF18aabpmut,RRL,Periodic
2027,ZTF18aabpseu,E,Periodic
2028,ZTF18aabpwtg,E,Periodic
2029,ZTF18aabtvqc,E,Periodic
2030,ZTF18aabzjmj,E,Periodic
2031,ZTF18aacixhp,QSO,Stochastic
2032,ZTF18aadkymi,QSO,Stochastic
2033,ZTF18aaeaemh,QSO,Stochastic
2034,ZTF18aaerpgs,QSO,Stochastic
2035,ZTF18aagrceq,RRL,Periodic
2036,ZTF18aagrcwe,E,Periodic
2037,ZTF18aagsenr,E,Periodic
2038,ZTF18aaifbku,AGN,Stochastic
2039,ZTF18aaigpcj,E,Periodic
2040,ZTF18aaimxjq,E,Periodic
2041,ZTF18aaiyfma,E,Periodic
2042,ZTF18aajckxu,E,Periodic
2043,ZTF18aajrxdt,E,Periodic
2044,ZTF18aajsydf,RRL,Periodic
2045,ZTF18aajtcvt,E,Periodic
2046,ZTF18aakccwp,RRL,Periodic
2047,ZTF18aakdazw,RRL,Periodic
2048,ZTF18aakkrnq,RRL,Periodic
2049,ZTF18aalkxvz,E,Periodic
2050,ZTF18aalufuv,AGN,Stochastic
2051,ZTF18aalurcl,RRL,Periodic
2052,ZTF18aalvtdp,QSO,Stochastic
2053,ZTF18aamfvvb,RRL,Periodic
2054,ZTF18aamlayy,E,Periodic
2055,ZTF18aanbctk,E,Periodic
2056,ZTF18aaotaah,RRL,Periodic
2057,ZTF18aapaaow,RRL,Periodic
2058,ZTF18aapeywu,LPV,Periodic
2059,ZTF18aaphzui,E,Periodic
2060,ZTF18aapyqsw,RRL,Periodic
2061,ZTF18aaqfzpo,RRL,Periodic
2062,ZTF18aaqldlq,E,Periodic
2063,ZTF18aaqxrdb,RRL,Periodic
2064,ZTF18aartabg,E,Periodic
2065,ZTF18aarvebw,RRL,Periodic
2066,ZTF18aarxybp,QSO,Stochastic
2067,ZTF18aasentl,QSO,Stochastic
2068,ZTF18aasnhca,LPV,Periodic
2069,ZTF18aasnhjf,LPV,Periodic
2070,ZTF18aasrxwa,RRL,Periodic
2071,ZTF18aatgegv,RRL,Periodic
2072,ZTF18aauekgf,LPV,Periodic
2073,ZTF18aauudlf,AGN,Stochastic
2074,ZTF18aavsdfj,QSO,Stochastic
2075,ZTF18aavzkxb,LPV,Periodic
2076,ZTF18aawblcg,RRL,Periodic
2077,ZTF18aawdmwe,Blazar,Stochastic
2078,ZTF18aaxaarw,LPV,Periodic
2079,ZTF18aaxaqlj,LPV,Periodic
2080,ZTF18aaxpwdy,QSO,Stochastic
2081,ZTF18aaxsaxa,QSO,Stochastic
2082,ZTF18aaxsnap,QSO,Stochastic
2083,ZTF18aaxwvfp,QSO,Stochastic
2084,ZTF18aaxyrhy,LPV,Periodic
2085,ZTF18aaxyvbf,LPV,Periodic
2086,ZTF18aaybsep,QSO,Stochastic
2087,ZTF18aaylcfm,E,Periodic
2088,ZTF18aayoamm,LPV,Periodic
2089,ZTF18aayoylg,RRL,Periodic
2090,ZTF18aayxpsz,LPV,Periodic
2091,ZTF18aazfdzp,LPV,Periodic
2092,ZTF18aazhxho,QSO,Stochastic
2093,ZTF18aazloli,LPV,Periodic
2094,ZTF18abadkgl,RRL,Periodic
2095,ZTF18abbkgqc,QSO,Stochastic
2096,ZTF18abbkjrc,LPV,Periodic
2097,ZTF18abbmtfw,LPV,Periodic
2098,ZTF18abbrrsz,RRL,Periodic
2099,ZTF18abbuioq,E,Periodic
2100,ZTF18abbujzg,RRL,Periodic
2101,ZTF18abbumaw,RRL,Periodic
2102,ZTF18abbunva,E,Periodic
2103,ZTF18abbvbgl,LPV,Periodic
2104,ZTF18abbxxam,RRL,Periodic
2105,ZTF18abbxzwp,RRL,Periodic
2106,ZTF18abccpsp,RRL,Periodic
2107,ZTF18abcdsoj,LPV,Periodic
2108,ZTF18abcgmvi,E,Periodic
2109,ZTF18abchhmp,E,Periodic
2110,ZTF18abchmft,LPV,Periodic
2111,ZTF18abcpohe,RRL,Periodic
2112,ZTF18abcpraj,Blazar,Stochastic
2113,ZTF18abctwyy,LPV,Periodic
2114,ZTF18abcwfbu,RRL,Periodic
2115,ZTF18abcwysu,RRL,Periodic
2116,ZTF18abcxilg,E,Periodic
2117,ZTF18abcxqyj,E,Periodic
2118,ZTF18abdeyph,E,Periodic
2119,ZTF18abdlzau,LPV,Periodic
2120,ZTF18abdonid,LPV,Periodic
2121,ZTF18abdroad,RRL,Periodic
2122,ZTF18abdsgwx,RRL,Periodic
2123,ZTF18abeaipm,E,Periodic
2124,ZTF18abecmot,RRL,Periodic
2125,ZTF18abecxft,E,Periodic
2126,ZTF18abeddfu,LPV,Periodic
2127,ZTF18abefjmm,RRL,Periodic
2128,ZTF18abeiiwk,QSO,Stochastic
2129,ZTF18abejmgj,LPV,Periodic
2130,ZTF18abetczr,E,Periodic
2131,ZTF18abfyrvy,E,Periodic
2132,ZTF18abfzjms,E,Periodic
2133,ZTF18abgjgin,RRL,Periodic
2134,ZTF18abgqyon,E,Periodic
2135,ZTF18abgsjpn,E,Periodic
2136,ZTF18abhcsiz,LPV,Periodic
2137,ZTF18abhpipf,LPV,Periodic
2138,ZTF18abhqczk,E,Periodic
2139,ZTF18abiitiv,QSO,Stochastic
2140,ZTF18abijlah,QSO,Stochastic
2141,ZTF18abjhfip,LPV,Periodic
2142,ZTF18abjkruy,RRL,Periodic
2143,ZTF18abjqnlh,E,Periodic
2144,ZTF18abjyjgh,E,Periodic
2145,ZTF18abklalb,RRL,Periodic
2146,ZTF18abkodfz,LPV,Periodic
2147,ZTF18abkwfxn,RRL,Periodic
2148,ZTF18ablmmef,QSO,Stochastic
2149,ZTF18ablpuer,LPV,Periodic
2150,ZTF18ablrmoh,RRL,Periodic
2151,ZTF18ablteop,LPV,Periodic
2152,ZTF18abltewn,RRL,Periodic
2153,ZTF18ablwqfy,LPV,Periodic
2154,ZTF18ablxlvn,RRL,Periodic
2155,ZTF18abmbbhy,E,Periodic
2156,ZTF18abmdfyt,RRL,Periodic
2157,ZTF18abmegvk,DSCT,Periodic
2158,ZTF18abmjrwg,E,Periodic
2159,ZTF18abmjvhk,RRL,Periodic
2160,ZTF18abmnpto,LPV,Periodic
2161,ZTF18abmnvyo,RRL,Periodic
2162,ZTF18abmpngx,RRL,Periodic
2163,ZTF18abmrgeo,RRL,Periodic
2164,ZTF18abmsshe,RRL,Periodic
2165,ZTF18abmwqcl,RRL,Periodic
2166,ZTF18abndtsu,RRL,Periodic
2167,ZTF18abnjulu,RRL,Periodic
2168,ZTF18abntzfx,LPV,Periodic
2169,ZTF18abnuevx,E,Periodic
2170,ZTF18abnumhb,E,Periodic
2171,ZTF18abnvyse,LPV,Periodic
2172,ZTF18abnwvua,LPV,Periodic
2173,ZTF18abnxcex,LPV,Periodic
2174,ZTF18abnyxgd,RRL,Periodic
2175,ZTF18abobktu,RRL,Periodic
2176,ZTF18abobphf,RRL,Periodic
2177,ZTF18abobuhh,RRL,Periodic
2178,ZTF18abolzow,E,Periodic
2179,ZTF18abomlni,E,Periodic
2180,ZTF18abosorb,E,Periodic
2181,ZTF18abrynlq,LPV,Periodic
2182,ZTF18abscemg,RRL,Periodic
2183,ZTF18absggln,RRL,Periodic
2184,ZTF18absggna,RRL,Periodic
2185,ZTF18absgjkp,E,Periodic
2186,ZTF18absjdal,E,Periodic
2187,ZTF18abskfeh,RRL,Periodic
2188,ZTF18abskrsz,LPV,Periodic
2189,ZTF18abslgap,E,Periodic
2190,ZTF18abslvyq,RRL,Periodic
2191,ZTF18absoido,E,Periodic
2192,ZTF18absqqfq,E,Periodic
2193,ZTF18absstcu,AGN,Stochastic
2194,ZTF18absurse,E,Periodic
2195,ZTF18abtecdv,RRL,Periodic
2196,ZTF18abttcak,E,Periodic
2197,ZTF18abtunrm,RRL,Periodic
2198,ZTF18abtuzyd,RRL,Periodic
2199,ZTF18abtvgyu,E,Periodic
2200,ZTF18abtyhkg,E,Periodic
2201,ZTF18abudtgg,RRL,Periodic
2202,ZTF18abudwcf,LPV,Periodic
2203,ZTF18abuipua,E,Periodic
2204,ZTF18abuiuku,E,Periodic
2205,ZTF18abumhvv,E,Periodic
2206,ZTF18abutbnn,RRL,Periodic
2207,ZTF18abuwdvf,RRL,Periodic
2208,ZTF18abuxywp,E,Periodic
2209,ZTF18abvcfvt,E,Periodic
2210,ZTF18abvlgtj,E,Periodic
2211,ZTF18abvmczd,E,Periodic
2212,ZTF18abvmkxx,LPV,Periodic
2213,ZTF18abvuojr,RRL,Periodic
2214,ZTF18abvwdos,LPV,Periodic
2215,ZTF18abvwpuq,E,Periodic
2216,ZTF18abxeyyy,E,Periodic
2217,ZTF18abxzcrc,E,Periodic
2218,ZTF18abybtme,RRL,Periodic
2219,ZTF18abzboya,LPV,Periodic
2220,ZTF18abznmwp,E,Periodic
2221,ZTF18abzrsyr,E,Periodic
2222,ZTF18acaviva,RRL,Periodic
2223,ZTF18acavobh,RRL,Periodic
2224,ZTF18acaywbf,RRL,Periodic
2225,ZTF18acbxnvr,QSO,Stochastic
2226,ZTF18acceaam,RRL,Periodic
2227,ZTF18acclaej,E,Periodic
2228,ZTF18acclhzl,E,Periodic
2229,ZTF18accvmwf,QSO,Stochastic
2230,ZTF18aceqggo,QSO,Stochastic
2231,ZTF18acgkxmz,E,Periodic
2232,ZTF18achukly,CEP,Periodic
2233,ZTF18acjwuop,RRL,Periodic
2234,ZTF18acloleh,RRL,Periodic
2235,ZTF18acnngay,QSO,Stochastic
2236,ZTF18acpomsx,Blazar,Stochastic
2237,ZTF18acqxoug,E,Periodic
2238,ZTF18acrclyv,E,Periodic
2239,ZTF18acrnion,RRL,Periodic
2240,ZTF18acrumig,LPV,Periodic
2241,ZTF18acruzre,E,Periodic
2242,ZTF18acrxojh,E,Periodic
2243,ZTF18acrygvo,E,Periodic
2244,ZTF18acsjgru,E,Periodic
2245,ZTF18acszxzt,E,Periodic
2246,ZTF18acuelsv,E,Periodic
2247,ZTF18acurild,RRL,Periodic
2248,ZTF18acuyqlu,E,Periodic
2249,ZTF18acvgnvd,QSO,Stochastic
2250,ZTF18acvtyzm,RRL,Periodic
2251,ZTF18acvvpdu,E,Periodic
2252,ZTF18acwzity,RRL,Periodic
2253,ZTF18acxwqua,RRL,Periodic
2254,ZTF18acyfgiv,AGN,Stochastic
2255,ZTF18acynhkl,LPV,Periodic
2256,ZTF18aczdext,E,Periodic
2257,ZTF18aczecql,E,Periodic
2258,ZTF18adacfij,E,Periodic
2259,ZTF18adachgk,QSO,Stochastic
2260,ZTF18adalbxn,E,Periodic
2261,ZTF18adbaetf,RRL,Periodic
2262,ZTF18adbipfc,E,Periodic
2263,ZTF18adcbzvc,QSO,Stochastic
2264,ZTF19aaafhsv,QSO,Stochastic
2265,ZTF19aaafovg,RRL,Periodic
2266,ZTF19aaafpwk,RRL,Periodic
2267,ZTF19aaapiwx,QSO,Stochastic
2268,ZTF19aaapkke,QSO,Stochastic
2269,ZTF19aaaqbox,QSO,Stochastic
2270,ZTF19aabhuye,E,Periodic
2271,ZTF19aacixze,QSO,Stochastic
2272,ZTF19aadacep,QSO,Stochastic
2273,ZTF19aadafcy,RRL,Periodic
2274,ZTF19aadhazh,RRL,Periodic
2275,ZTF19aadopqv,QSO,Stochastic
2276,ZTF19aadupqh,RRL,Periodic
2277,ZTF19aaeslvs,E,Periodic
2278,ZTF19aaetgef,RRL,Periodic
2279,ZTF19aafoale,RRL,Periodic
2280,ZTF19aagpocl,QSO,Stochastic
2281,ZTF19aaillxh,QSO,Stochastic
2282,ZTF19aajbiat,QSO,Stochastic
2283,ZTF19aaklkrn,E,Periodic
2284,ZTF19aakqtrv,QSO,Stochastic
2285,ZTF19aaktorq,AGN,Stochastic
2286,ZTF19aalbflz,AGN,Stochastic
2287,ZTF19aalopim,QSO,Stochastic
2288,ZTF19aalrvlf,QSO,Stochastic
2289,ZTF19aaluaga,QSO,Stochastic
2290,ZTF19aalzutv,QSO,Stochastic
